"Language","original","english","polish",
"STR_CfgVehicles_Pot0","Pot","Pot","Garnek",
"STR_Can","Can","Can","Puszka",
"STR_ShelvesOcet0","vinegar","vinegar","ocet",
"STR_ShelvesJar0","Jar","Jar","Słoik",
"STR_ShelvesSugar01","Sugar/Salt","Sugar/Salt","Cukier/Sól",
"STR_ShelvesTytkaSalt01","Sugar/Salt","Sugar/Salt","Cukier/Sól",
"STR_Chefs_shelf","Chef's shelf","Chef's shelf","Półka Szefa kuchni",
"STR_opis_shelf","Chef's shelf where he keeps his ingredients for making cans and more .","Chef's shelf where he keeps his ingredients for making cans and more .","Półka Szefa kuchni na której trzyma swoje składniki do wytwarzania puszek i nie tylko .",
"Deska1","shelf 1","shelf 1","Regał1",
"Deska2","shelf 2","shelf 2","Regał 2",
"Deska3","shelf 3","shelf 3","Regał 3",
"Deska4","shelf 4","shelf 4","Regał 4",
"ShelvesSalt0","Salt","Salt",Sól kamienna",
"STR_ShelvesCans_Table_HOLO","Shelves  HOLO","Shelves  HOLO","Hologram",
"STR_Kit_SK_Shelves_Cans","Chef's  Shelves KIT","Chef's  Shelves KIT","Zestaw półek szefa kuchni",
"STR_CookBook","Cook Book","Cook Book","Książka Kucharska",

