"Language","original","english","polish",
"STR_table","Chef's Table","Chef's Table","Stół Szefa Kuchni",
"STR_Opis_table","A sturdy kitchen table, perfect for preparing canned food. In a post-apocalyptic world, even furniture becomes a survival tool.","A sturdy kitchen table, perfect for preparing canned food. In a post-apocalyptic world, even furniture becomes a survival tool.","Solidny stół kuchenny, idealny do przygotowywania konserw. W świecie po apokalipsie nawet meble mogą być narzędziem przetrwania.",
"STR_Table_HOLO","table hologram","table hologram","hologram stołu",
"STR_SaltStone_0","Salt Stone","Salt Stone","Sól kamienna",
"STR_SaltStone_1","Pure salt extracted from ancient stones. Essential for survival cooking or warding off radioactive spirits.","Pure salt extracted from ancient stones. Essential for survival cooking or warding off radioactive spirits.","Czysta sól wydobywana z pradawnych kamieni. Niezbędna do gotowania w świecie postapokalipsy lub odpędzania radiacyjnych duchów.",
"STR_SzefFood_CanEmpty_0","Empty can","Empty can","Pusta puszka",
"STR_SzefFood_CanEmpty_1","A seemingly useless can, but for the Chef, it’s the foundation of culinary preservation.","A seemingly useless can, but for the Chef, it’s the foundation of culinary preservation.","Pozornie bezużyteczna puszka, ale dla Szefa Kuchni to fundament sztuki konserwowania.",
"STR_SzefFood_CanSalt_0","Canned salt","Canned salt","Puszka z solą",
"STR_SzefFood_CanSalt_1","Contains pure salt. Use it to season your food, barter for supplies, or create the perfect canned meal.","Contains pure salt. Use it to season your food, barter for supplies, or create the perfect canned meal.","Zawiera czystą sól. Można nią doprawić jedzenie, wymienić na zapasy lub stworzyć idealną konserwę.",
"STR_SzefFood_MeatMackerel_0","Canned mackerel","Canned mackerel","Puszka z makrelą",
"STR_SzefFood_MeatMackerel_1","The can contains mackerel meat. A distant memory of ocean freshness.","The can contains mackerel meat. A distant memory of ocean freshness.","Puszka zawiera mięso makreli. Odległe wspomnienie świeżości oceanu.",
"STR_SzefFood_MeatMackerel_Opened_0","Open can of mackerel","Open can of mackerel","Otwarta puszka z makrelą",
"STR_SzefFood_MeatMackerel_Opened_1","The can contains mackerel. Last trace of the Atlantic. Eat fast before it glows.","The can contains mackerel. Last trace of the Atlantic. Eat fast before it glows.","Puszka zawiera makrelę. Ostatni ślad Atlantyku. Jedz szybko, zanim zacznie świecić.",
"STR_SzefFood_MeatCarp_0","Canned carp","Canned carp","Puszka z karpiem",
"STR_SzefFood_MeatCarp_1","The can contains carp meat. A holiday tradition in a world where holidays no longer exist.","The can contains carp meat. A holiday tradition in a world where holidays no longer exist.","Puszka zawiera mięso karpia. Świąteczna tradycja w świecie, gdzie święta już nie istnieją.",
"STR_SzefFood_MeatCarp_Opened_0","Open can of carp meat","Open can of carp meat","Otwarta puszka z mięsem z karpia",
"STR_SzefFood_MeatCarp_Opened_1","The can contains carp meat.  The eyes still watch you.","The can contains carp meat. The eyes still watch you.","Puszka zawiera mięso z karpia.  Oczy wciąż cię obserwują.",
"STR_SzefFood_MeatRabbit_0","Canned rabbit","Canned rabbit","Puszka z królikiem",
"STR_SzefFood_MeatRabbit_1","Tender rabbit meat. Tastes like hope and better days.","Tender rabbit meat. Tastes like hope and better days.","Delikatne mięso królika. Smakuje jak nadzieja na lepsze dni.",
"STR_SzefFood_MeatRabbit_Opened_0","Open can of rabbit meat","Open can of rabbit meat","Otwarta puszka z mięsem z królika",
"STR_SzefFood_MeatRabbit_Opened_1","The can contains rabbit meat. A taste of better days.","The can contains rabbit meat. A taste of better days.","Puszka zawiera mięso królika. Smakuje jak nadzieja na lepsze czasy.",
"STR_SzefFood_MeatChicken_0","Canned chicken","Canned chicken","Puszka z kurczakiem",
